Title,Subtitle,Rating,Authors,Series,Volume,Publisher,Release Date,Description,ISBN-10,ISBN-13,Google ID,No. Of Pages,Dimensions,Collections,Subjects,Notes,Cover Image URL,Info URL
Burmese days,,,George Orwell,,,Penguin Books in association with M. Secker & Warburg,2001-11-01,"Orwell draws on his years of experience in India to tell this story of the waning days of British imperialism. A handful of Englishmen living in a settlement in Burma congregate in the European Club, drink whiskey, and argue over an impending order to admit a token Asian.",0141185376,9780141185378,LgdCPgAACAAJ,299,13.0x20.0x1.6 cm,,"British, Burma, Lumber trade, Physicians, Fiction / Literary, Fiction / Romance / General",,http://bks1.books.google.com/books?id=LgdCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=LgdCPgAACAAJ
C# for dummies,,,Stephen R. Davis,,,Hungry Minds,2001-11-15,"This book covers everything you need to begin programming in C# as painlessly as possible. C# For Dummies introduces the new language, covers the syntax of the language, explains expert programming techniques and jumps right into writing applications. The class libraries are also covered in detail.",0764508148,9780764508141,5zf3wjVhoOcC,462,18.8x24.0x2.5 cm,,"C (Computer program language), C# (Computer program language), Programming languages (Electronic computers), Computers / Programming Languages / General, Computers / Programming Languages / C, Computers / Programming Languages / C#",,http://bks0.books.google.com/books?id=5zf3wjVhoOcC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=5zf3wjVhoOcC
C for programmers,a complete tutorial based on the ANSI standard,,Leendert Ammeraal,,,Wiley,1991-01-01,"ANSI has made C a superior programming language for those who teach practical subjects. It covers language rules, expressions & statements, functions & program structures, arrays, pointers, strings, input & output & much more. Includes exercises to clarify the language elements discussed & interesting programs that deal with sorting, permutations, combinations, linear lists, binary trees & systems of linear equations, the latter without any built-in restrictions on the number of equations.",0471928518,9780471928515,OZhQAAAAMAAJ,270,3.5x24.0x0.6 cm,,"C (Computer program language), Computers / Programming Languages / C, Computers / Programming Languages / General",,http://bks9.books.google.com/books?id=OZhQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=OZhQAAAAMAAJ
Cobol for Students,,,"Andrew Parkin, Richard Yorke",,,Elsevier Science,1995-12-01,"COBOL for Students has established itself as one of the most successful teaching texts on COBOL programming and is now in its fourth edition. The first part of the book concentrates on the fundamentals of the language and takes students to the point where they can write modestly sized programs using sequential files. Part two assumes competence in elementary COBOL and explains design and other programming techniques which should be part of the professional programmer's repertoire. Part three extends the student's knowledge of the language by explaining some of the more advanced features of COBOL.Written for students learning COBOL for the first time, it takes the reader from the basic fundamentals right through to some of the more advanced features in one handy, and inexpensive volume. As many lecture courses have been based upon earlier editions of this book, this edition maintains the highly successful style and format and has been updated to include the 'Intrinsic Function Module for COBOL'. (This is the ANSI Standard X3.23a-1989 (COBOL 89) which has also been adopted as ISO International Standard 1989 Addendum 1 (an addendum to the ANSI Standard X3.23-1985 (COBOL 85)) and consists mainly of 42 predefined functions related to many different application areas).",0340645520,9780340645529,4RfWAQAACAAJ,352,19.5x24.0x4.1 cm,,"COBOL (Computer program language), Computers / Programming Languages / General, Computers / Programming Languages / COBOL",,http://bks1.books.google.com/books?id=4RfWAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=4RfWAQAACAAJ
Collins French Phrasebook and Dictionary,,,HarperCollins,,,HarperCollins UK,2009-09-01,"Ideal for practicing pronunciation and becoming more confident at reading and writing, this helpful volume contains a phrasebook; a specially commissioned food guide that describes the different regional dishes and wines, as well as a menu reader to guide new foreign language speakers through the maze of menus; and a 5,000-word dictionary. The phrases provided are short, easy to use, and applicable to everyday situations and accompanied by a simple pronunciation guide that facilitates speaking as well as listening. A free hour-long MP3 download is available to provide further help with proper pronunciation, making this the ultimate reference for speaking and understanding others while abroad.",0007264534,9780007264537,Q9NKPgAACAAJ,192,10.2x14.0x1.5 cm,,"English language/ Dictionaries/ French, English language, French language/ Conversation and phrase books/ English, French language/ Dictionaries/ English, French language, Foreign Language Study / Multi-Language Dictionaries, Foreign Language Study / French, Foreign Language Study / Multi-Language Phrasebooks, Travel / Europe / France",,http://bks2.books.google.com/books?id=Q9NKPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=Q9NKPgAACAAJ
Collins Gem English Dictionary,,,Paige Weber,,,Harper Collins Publ. UK,2004-04-01,,000716484X,9780007164844,Wxb3FOIoWskC,712,8.1x11.7x4.5 cm,,"English language, Reference / Dictionaries",,,http://books.google.com/books?id=Wxb3FOIoWskC
Collins Gem English Dictionary XB.,,,,,,"HarperCollins Canada, Limited",1997-11-13,,0004704851,9780004704852,TuqOJgAACAAJ,631,,,"English language, Reference / Dictionaries",,http://bks2.books.google.com/books?id=TuqOJgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=TuqOJgAACAAJ
Collins German Dictionary the Works,,,Collins Publishers Staff,,,HarperCollins Publishers Limited,2007-01-01,,0007793413,9780007793419,QKOrGAAACAAJ,,14.0x21.1x3.2 cm,,Reference / General,,,http://books.google.com/books?id=QKOrGAAACAAJ
Computer science,,,Carl S. French,,,DP Publications,1996-01-01,"This book provides an approach to the understanding of Computer Science to the level required for GCE Advanced. The new edition has greater emphasis on computing driven by end-users, mostly involving networked PC's running standard software. There is also.",1858051649,9781858051642,Ok8dAgAACAAJ,506,22.0x28.0x2.5 cm,,"Computer science, Computers, Electronic data processing",,http://bks8.books.google.com/books?id=Ok8dAgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=Ok8dAgAACAAJ
Computing Projects in Visual Basic.NET,,,Derek Christopher,,,Payne Gallway,2003-04-15,,1903112915,9781903112915,5ZBqxEAZEAMC,302,21.2x27.2x27.5 cm,,"Computer programming, Microsoft .NET Framework, Microsoft Visual BASIC, Computers / Programming Languages / Visual BASIC, Computers / Internet / Application Development",,http://bks9.books.google.com/books?id=5ZBqxEAZEAMC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=5ZBqxEAZEAMC
